Timestamp,title,year,medium,length,vibes
5/30/2026 7:14:52,The Addams Family Season 1,1964,tv,26,comfort|silly|comedy|halloween|1960s
5/30/2026 7:15:22,The Addams Family Season 2,1964,tv,26,comfort|silly|comedy|halloween|1960s
5/30/2026 7:29:08,The Addams Family,1991,movie,99,comfort|silly|comedy|halloween|1990s
,The Addams Family Values,1993,movie,94,comfort|silly|comedy|halloween|1990s
,After.Life,2009,movie,104,horror|2000s
,Airplane,1980,movie,87,comedy|silly|comfort|1980s
,Alice Sweet Alice,1977,movie,107,horror|slasher|thriller|1970s
,Alien,1979,movie,116,horror|monster|sci-fi|comfort|1970s
,Aliens,1986,movie,154,horror|sci-fi|action|monster|comfort|1980s
,Alien 3,1992,movie,145,horror|sci-fi|monster|1990s
,Alien: Resurrection,1997,movie,109,horror|sci-fi|monster|1990s
,Alien vs. Predator,2004,movie,101,horror|sci-fi|monster|action|comfort|2000s
,Alien: Covenant,2017,movie,122,horror|sci-fi|monster|comfort|2010s
,Alien: Romulus,2024,movie,119,horror|sci-fi|monster|2020s
